raceId,weather,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy
336,Sunny,1,0,0,0,0
337,Sunny,1,0,0,0,0
338,Overcast with light rain at start,0,0,0,1,1
339,"Mainly cloudy, dry",0,0,1,0,0
340,"Cloudy, rain",0,0,0,1,0
341,"Mainly cloudy, dry",0,0,1,0,0
342,"Mainly cloudy, dry",0,0,1,0,0
343,Air: 28 to 29 °C (82 to 84 °F) Track: 39 to 49 °C (102 to 120 °F),0,0,0,0,0
344,Warm with temperatures approaching 26 °C (79 °F); wind speeds up to 4.9 kilometres per hour (3.0 mph)[1],1,0,0,0,0
345,Dry[3],0,0,0,0,0
346,Mainly sunny,1,0,0,0,0
347,"Mainly cloudy, dry[4]",0,0,0,0,0
348,Mainly sunny28 °C (82 °F)[1],0,0,0,0,0
349,Intermittent rain,0,0,0,1,0
350,Sunny,1,0,0,0,0
351,"Clear; Air temp 29 to 30 °C (84 to 86 °F), Track temp 31 °C (88 °F)[5][6]",0,0,0,0,0
352,Sunny,1,0,0,0,0
353,"Rain. Air 20 °C (68 °F), Track 18 °C (64 °F)",0,0,0,0,0
354,Clear; 25 °C (77 °F),0,0,0,0,0
355,Dry[3] Air Temp 28 °C (82 °F)[3] Track Temp 33 °C (91 °F) dropping to 29 °C (84 °F)[3],0,0,0,0,0
356,"Very hot, dry, sunny",1,0,0,0,0
357,"Warm, dry, sunny",1,0,0,0,0
358,"Warm, dry, sunny",1,0,0,0,0
359,"Hot, dry, partly sunny 25°C/79°F, 40% Humidity, wind NW-10mph",1,0,0,0,0
360,"Hot, sunny; temperature up to maximum of 38.3 °C (100.9 °F)[1]",0,0,0,0,0
361,Cool and rainy with temperatures approaching 24 °C (75 °F); wind speeds up to 17.9 kilometres per hour (11.1 mph)[1],0,1,0,1,0
362,"Hot, dry, sunny",1,0,0,0,0
363,"Warm, dry, sunny",1,0,0,0,0
364,"Warm, cloudy",0,0,0,0,1
365,Cloudy,0,0,0,0,1
366,"Wet, cloudy, cool",0,1,0,0,0
367,"Hot, dry, sunny",1,0,0,0,0
368,"Hot, dry, sunny",1,0,0,0,0
369,"Dry, hot, sunny",1,0,0,0,0
370,"Dry, warm, cloudy",0,0,0,0,1
371,"Wet, cool",0,1,0,0,0
372,Cloudy and hot,1,0,0,0,1
373,"Sunny, warm",1,0,0,0,0
374,Warm and dry,1,0,1,0,0
375,Sunny and hot,1,0,0,0,0
376,Sunny and hot with temperatures up to 29 °C (84 °F); wind speeds up to 19 kilometres per hour (12 mph)[1],1,0,0,0,0
377,Warm and sunny with temperatures up to 91.9 °F (33.3 °C); wind speeds up to 11.1 miles per hour (17.9 km/h)[1],1,0,0,0,0
378,Sunny and hot,1,0,0,0,0
379,Wet and cool,0,1,0,1,0
380,Wet and cool,0,1,0,1,0
381,Sunny and hot,1,0,0,0,0
382,"Warm, dry and overcast",0,0,1,0,1
383,Sunny and hot,1,0,0,0,0
384,Sunny and hot,1,0,0,0,0
385,Sunny and hot,1,0,0,0,0
386,"Cool and mainly dry, some rain toward the end",0,1,0,1,0
387,Cloudy and hot,1,0,0,0,1
388,Sunny,1,0,0,0,0
389,"Sunny, warm",1,0,0,0,0
390,Cloudy and cool,0,1,0,0,1
391,Sunny and warm,1,0,0,0,0
392,Clear with rain showers later on; temperatures reaching up to 78.1 °F (25.6 °C); wind speeds up to 19.6 miles per hour (31.5 km/h)[1],1,0,0,1,0
393,Sunny and hot,1,0,0,0,0
394,Sunny and warm,1,0,0,0,0
395,,0,0,0,0,0
396,Dry,0,0,1,0,0
397,Dry,0,0,1,0,0
398,Dry,0,0,1,0,0
399,Dry,0,0,1,0,0
400,Sunny and hot,1,0,0,0,0
401,Sunny and hot,1,0,0,0,0
402,Dry,0,0,1,0,0
403,Sunny,1,0,0,0,0
404,"Hot, dry and sunny",1,0,1,0,0
405,"Warm, dry and sunny",1,0,1,0,0
406,"Overcast, warm",1,0,0,0,0
407,"Sunny, mild, dry",0,0,1,0,0
408,Dry,0,0,1,0,0
409,Dry with temperatures approaching 25 °C (77 °F); wind speeds up to 20.5 km/h (12.7 mph)[1],0,0,1,0,0
410,Cloudy and hot with temperatures reaching up to 91 °F (33 °C); wind speeds up to 23 miles per hour (37 km/h)[1],1,0,0,0,1
411,Dry,0,0,1,0,0
412,Sunny,1,0,0,0,0
413,Dry,0,0,1,0,0
414,,0,0,0,0,0
415,Dry,0,0,1,0,0
416,Dry,0,0,1,0,0
417,Dry,0,0,1,0,0
418,Sunny and hot,1,0,0,0,0
419,Sunny,1,0,0,0,0
420,"Dry, 34 °C (93 °F) air temperature",0,0,0,0,0
421,"Overcast, Cold, Rain",0,0,0,1,0
422,,0,0,0,0,0
423,Dry,0,0,1,0,0
424,Sunny with temperatures approaching 20.5 °C (68.9 °F); wind speeds up to 12.9 kilometres per hour (8.0 mph)[1],1,0,0,0,0
425,Clear and cool with temperatures reaching up to 80.1 °F (26.7 °C); wind speeds up to 23 miles per hour (37 km/h)[1],1,1,0,0,0
426,"Dry, hot[2]",0,0,0,0,0
427,"Cool, overcast",0,0,0,0,1
428,Dry,0,0,1,0,0
429,Dry,0,0,1,0,0
430,Sunny,1,0,0,0,0
431,Dry,0,0,1,0,0
432,"Wet/Dry, drying up in later stages",0,0,0,0,0
433,,0,0,0,0,0
434,Dry,0,0,1,0,0
435,Sunny,1,0,0,0,0
436,Dry,0,0,1,0,0
437,Dry,0,0,1,0,0
438,,0,0,0,0,0
439,,0,0,0,0,0
440,Dry,0,0,1,0,0
441,Heavy rain and spray,0,0,0,1,0
442,Dry with temperatures approaching 26 °C (79 °F); wind speeds up to 12.9 kilometres per hour (8.0 mph)[1],0,0,1,0,0
443,Sunny and warm with temperatures reaching up to 77.9 °F (25.5 °C); wind speeds up to 11.3 miles per hour (18.2 km/h)[1],1,0,0,0,0
444,Sunny with temperatures reaching up to 100 °F (38 °C); wind speeds approaching speeds up to 14 miles per hour (23 km/h)[1],1,0,0,0,0
445,,0,0,0,0,0
446,Dry,0,0,1,0,0
447,Dry,0,0,1,0,0
448,Sunny,1,0,0,0,0
449,Dry,0,0,1,0,0
450,Sunny,1,0,0,0,0
451,Dry,0,0,1,0,0
452,Dry,0,0,1,0,0
453,Sunny and warm with temperatures reaching up to 65.8 °F (18.8 °C); wind speeds approaching speeds up to 9.9 miles per hour (15.9 km/h)[1],1,0,0,0,0
454,"Dry, grey and cool[1]",0,0,0,0,1
455,,0,0,0,0,0
456,Wet track at the start,0,0,0,1,0
457,,0,0,0,0,0
